example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.52094 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01017 seconds |
./spec/features/calculations_spec.rb[3:1]  | failed | 0.00338 seconds |
./spec/features/calculations_spec.rb[4:1]  | failed | 0.00297 seconds |
./spec/features/calculations_spec.rb[5:1]  | failed | 0.03109 seconds |
./spec/features/calculations_spec.rb[6:1]  | failed | 0.01195 seconds |
./spec/features/calculations_spec.rb[7:1]  | failed | 0.01118 seconds |
./spec/features/calculations_spec.rb[8:1]  | failed | 0.01069 seconds |
./spec/features/calculations_spec.rb[9:1]  | failed | 0.00321 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.01016 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.00782 seconds |
./spec/features/calculations_spec.rb[12:1] | passed | 0.00779 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.00779 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.00807 seconds |
./spec/features/calculations_spec.rb[15:1] | passed | 0.0173 seconds  |
./spec/features/calculations_spec.rb[16:1] | passed | 0.00841 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.01812 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.01903 seconds |
./spec/features/calculations_spec.rb[19:1] | failed | 0.00326 seconds |
./spec/features/calculations_spec.rb[20:1] | failed | 0.00283 seconds |
./spec/features/calculations_spec.rb[21:1] | failed | 0.00277 seconds |
./spec/features/calculations_spec.rb[22:1] | failed | 0.00271 seconds |
./spec/features/calculations_spec.rb[23:1] | failed | 0.00287 seconds |
./spec/features/calculations_spec.rb[24:1] | failed | 0.0026 seconds  |
./spec/features/calculations_spec.rb[25:1] | failed | 0.00264 seconds |
./spec/features/calculations_spec.rb[26:1] | failed | 0.00287 seconds |
./spec/features/calculations_spec.rb[27:1] | failed | 0.00274 seconds |
./spec/features/calculations_spec.rb[28:1] | failed | 0.00266 seconds |
./spec/features/calculations_spec.rb[29:1] | failed | 0.00258 seconds |
./spec/features/calculations_spec.rb[30:1] | failed | 0.00248 seconds |
./spec/features/calculations_spec.rb[31:1] | failed | 0.00237 seconds |
./spec/features/calculations_spec.rb[32:1] | failed | 0.00232 seconds |
./spec/features/calculations_spec.rb[33:1] | failed | 0.00237 seconds |
./spec/features/calculations_spec.rb[34:1] | failed | 0.00246 seconds |
./spec/features/calculations_spec.rb[35:1] | failed | 0.00232 seconds |
./spec/features/calculations_spec.rb[36:1] | failed | 0.0022 seconds  |
./spec/features/calculations_spec.rb[37:1] | failed | 0.00212 seconds |
./spec/features/calculations_spec.rb[38:1] | failed | 0.00219 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.00224 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.00232 seconds |
./spec/features/calculations_spec.rb[41:1] | failed | 0.00229 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.00223 seconds |
./spec/features/calculations_spec.rb[43:1] | failed | 0.0023 seconds  |
./spec/features/calculations_spec.rb[44:1] | failed | 0.00234 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.00237 seconds |
./spec/features/calculations_spec.rb[46:1] | failed | 0.00231 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.00229 seconds |
./spec/features/calculations_spec.rb[48:1] | failed | 0.00216 seconds |
./spec/features/calculations_spec.rb[49:1] | failed | 0.00226 seconds |
./spec/features/calculations_spec.rb[50:1] | failed | 0.00216 seconds |
